id,name,description,ruling,reason,variations
benzoyl-peroxide,Benzoyl Peroxide,A chemical compound used as a medication and an industrial chemical.,uncertain,"Benzoyl Peroxide is a chemical compound and is not directly sourced from animals. However, it is used in the food industry for various purposes, including bleaching flour. The permissibility depends on whether the process leaves any harmful or impure residues in the food. If the benzoyl peroxide is completely removed or neutralized and does not pose a health risk, it may be considered permissible. However, due to the uncertainty of the process, it is best to consider it uncertain unless it is confirmed that no harmful residues remain.","['benzoyl peroxide', 'e928']"
l-cysteine-hydrochloride,L-Cysteine Hydrochloride,"An amino acid used in the food industry, often as a dough conditioner.",uncertain,"L-Cysteine Hydrochloride can be derived from various sources, including human hair, animal feathers, or through microbial fermentation. The halal status depends on the source and processing method. If it's derived from human hair or non-halal animals, it is considered haram. If derived from halal sources or microbial fermentation using halal ingredients, it is considered halal. Due to the uncertainty of the source, it is best to consider it uncertain unless the source is explicitly known and halal.","['l-cysteine hydrochloride', 'e922']"
chlorine-dioxide,Chlorine Dioxide,A chemical compound used for bleaching and disinfecting.,uncertain,"Chlorine Dioxide is a chemical compound and is not directly sourced from animals. However, it is used in the food industry for various purposes, including bleaching flour. The permissibility depends on whether the process leaves any harmful or impure residues in the food. If the chlorine dioxide is completely removed or neutralized and does not pose a health risk, it may be considered permissible. However, due to the uncertainty of the process, it is best to consider it uncertain unless it is confirmed that no harmful residues remain.","['chlorine dioxide', 'e926']"
potassium-iodate,Potassium Iodate,"An oxidizing agent used as a food additive, mainly in bread production.",uncertain,"Although Potassium Iodate is a chemical substance and not directly sourced from animals, there are some concerns about its safety and potential toxicity. Some Islamic scholars may consider potentially harmful additives as questionable. However, the primary concern is regarding health rather than permissibility. Therefore, it is best to avoid it if possible.","['potassium iodate', 'e924']"
e930,Carbon Dioxide,"A gas used as a food additive for various purposes, including carbonation and as a propellant.",halal,Carbon dioxide is a naturally occurring gas and is permissible for consumption.,"['e930', 'carbon dioxide']"
e938,Argon,A noble gas used in food packaging to prevent oxidation and prolong shelf life.,halal,Argon is an inert gas and does not react with food. It is permissible for use in food packaging.,"['e938', 'argon']"
e943a,Butane,A propellant used in aerosol sprays for food products.,halal,Butane is a saturated hydrocarbon and is permissible for use as a propellant in food products.,"['e943a', 'butane']"
e940,Dichlorodifluoromethane,"A propellant gas, formerly used in aerosols.",uncertain,"There is not enough information to determine the Halal status of Dichlorodifluoromethane. Further investigation is needed to ascertain its source, production process, and potential contaminants.","['e940', 'dichlorodifluoromethane']"
e941,Nitrogen,A gas used in food packaging to displace oxygen and prevent spoilage.,halal,Nitrogen is an inert gas and is permissible for use in food packaging.,"['e941', 'nitrogen']"
e942,Nitrous Oxide,A propellant used in aerosol sprays for food products.,halal,Nitrous oxide is a chemical compound that is generally permissible for use as a propellant in food products.,"['e942', 'nitrous oxide']"
e944,Propane,A propellant used in aerosol sprays for food products.,halal,Propane is a saturated hydrocarbon and is permissible for use as a propellant in food products.,"['e944', 'propane']"
e929,Hexamethylene Tetramine,A preservative used in some food products.,uncertain,"There is not enough information to determine the Halal status of Hexamethylene Tetramine. Further investigation is needed to ascertain its source, production process, and potential contaminants.","['e929', 'hexamethylene tetramine']"
e939,Helium,A gas used as a propellant.,halal,Helium is an inert gas and is permissible for use as a propellant.,"['e939', 'helium']"
e954,Isomalt,A sugar substitute used in sugar-free candies and chewing gum.,halal,Isomalt is a sugar alcohol derived from beet sugar. It is generally considered halal as the source and processing do not involve any haram substances.,"['e954', 'isomalt']"
e946,Octafluoropropane,A propellant gas.,uncertain,The Halal status of Octafluoropropane is uncertain due to limited information on its sources and manufacturing processes. Further investigation is required to determine its compliance with Halal standards.,"['e946', 'octafluoropropane']"
e949,Hydrogen,"A gas used in various industrial processes, including food processing.",halal,"Hydrogen itself is considered halal as it is a basic element and does not contain any haram substances. However, its halal status in food processing depends on the specific application and any additives or processes it is used in.","['e949', 'hydrogen']"
e953,Isomaltitol,A sugar alcohol used as a sweetener.,halal,Isomaltitol is a sugar alcohol derived from isomalt. It is generally considered halal as the source and processing do not involve any haram substances.,"['e953', 'isomaltitol']"
sucralose,Sucralose,An artificial sweetener.,halal,Sucralose is an artificial sweetener that is generally considered halal as it is not derived from animal products or alcohol.,"['e955', 'sucralose']"
e945,Chloropentafluoroethane,A propellant gas.,uncertain,The Halal status of Chloropentafluoroethane is uncertain due to limited information on its sources and manufacturing processes. Further investigation is required to determine its compliance with Halal standards.,"['e945', 'chloropentafluoroethane']"
e948,Oxygen,A gas used in modified atmosphere packaging.,halal,Oxygen is a naturally occurring gas and is considered halal.,"['e948', 'oxygen']"
e958,E958,Glycyrrhizin is a natural sweetener extracted from licorice root.,halal,"Glycyrrhizin is extracted from licorice root, which is a plant-based source. Plant-based sources are generally considered halal unless processed with haram substances.","['e958', 'glycyrrhizin', 'licorice extract']"
e964,Isomaltulose,Isomaltulose is a naturally occurring disaccharide found in honey and sugar cane. It is also known as palatinose.,halal,"Isomaltulose is a naturally occurring sugar, and sugars are considered halal unless they are processed using haram substances.","['e964', 'isomaltulose', 'palatinose']"
e961,Neotame,Neotame is an artificial sweetener.,halal,"Neotame is produced synthetically and does not contain any animal products or alcohol. Therefore, it is considered halal.","['e961', 'neotame']"
e966,Lactitol,Lactitol is a sugar alcohol used as a low-calorie sweetener and bulking agent.,halal,"Lactitol is a sugar alcohol derived from lactose. As long as the lactose source is halal (e.g., from cow's milk from halal-slaughtered animals), lactitol is considered halal.","['e966', 'lactitol']"
e959,Neohesperidin Dihydrochalcone,Neohesperidin dihydrochalcone (NHDC) is a semi-synthetic sweetener derived from citrus fruits.,halal,"NHDC is derived from citrus fruits, which are considered halal. The semi-synthetic process does not necessarily render it haram unless haram substances are used in the process.","['e959', 'neohesperidin dihydrochalcone', 'nhdc']"
e965,Maltitol,Maltitol is a sugar alcohol used as a sweetener.,halal,"Maltitol is a sugar alcohol derived from starch, typically corn or wheat. These sources are halal, and the manufacturing process generally does not involve haram substances.","['e965', 'maltitol', 'hydrogenated starch hydrolysate']"
e957,Thaumatin,Thaumatin is a low-calorie sweetener and flavor modifier. It is a protein extracted from the katemfe fruit of West Africa.,halal,"Thaumatin is a protein extracted from a fruit, and plant-based sources are generally considered halal unless processed with haram substances.","['e957', 'thaumatin']"
e956,Alitame,Alitame is a high-intensity artificial sweetener.,uncertain,"Information on the production process of Alitame is limited. Without detailed information on the ingredients and processes used in its manufacture, it is difficult to ascertain its Halal status definitively. Therefore, it is categorized as uncertain.","['e956', 'alitame']"
e960,Steviol Glycosides,Steviol glycosides are natural sweeteners extracted from the stevia plant.,halal,"Steviol glycosides are extracted from the stevia plant, which is a plant-based source. Plant-based sources are generally considered halal unless processed with haram substances.","['e960', 'steviol glycosides', 'stevia extract']"
egg-powder,Egg Powder,Dried form of eggs used in various food preparations.,halal,"Egg powder is derived from chicken eggs, which are considered halal. The drying process itself does not introduce any haram elements.","['egg-powder', 'dried-egg', 'powdered-egg']"
aspartame-acesulfame-salt,Aspartame-Acesulfame Salt,Sweetener,halal,Both aspartame and acesulfame potassium are considered halal. Combining them into a salt form does not change their halal status.,"['e967', 'aspartame-acesulfame-salt']"
quinine,Quinine,"A bitter crystalline alkaloid obtained from cinchona bark, used as a flavoring agent and in medicine.",halal,Quinine is generally considered halal as it is a naturally derived substance and the extraction process does not involve any haram substances.,"['e999', 'quinine']"
erythritol,Erythritol,A sugar alcohol used as a food additive and sugar substitute.,halal,Erythritol is produced by fermentation and is considered halal as the process and the end product do not contain any haram substances.,"['e968', 'erythritol']"
egg-protein,Egg Protein,"Protein derived from eggs, used in various food products.",halal,Eggs from halal animals (such as chickens) and their derivatives are considered halal.,"['egg protein', 'egg white protein', 'egg yolk protein']"
emulsified-shortening,Emulsified Shortening,A type of shortening that contains emulsifiers to help blend fats and liquids in baking.,uncertain,"The halal status depends on the ingredients used in the shortening and the source of the emulsifiers. If the emulsifiers are plant-based or derived from halal-slaughtered animals, it is halal. Otherwise, it is uncertain.","['emulsified shortening', 'shortening with emulsifiers']"
einkorn-flour,Einkorn Flour,"Flour made from einkorn wheat, an ancient grain.",halal,Einkorn flour is derived from a plant source and is considered halal.,"['einkorn flour', 'einkorn wheat flour']"
elubo,Elubo,A yam flour used in Nigerian cuisine.,halal,Yam flour is derived from a plant source and is considered halal.,"['elubo', 'yam flour']"
energy-drink-additive,Energy Drink Additive,"Various additives used in energy drinks to enhance flavor, provide energy, or preserve the product.",uncertain,"The halal status depends on the specific ingredients used as additives. Some additives may be haram (e.g., those containing alcohol or derived from non-halal animals), while others are halal. Without knowing the specific additive, the ruling is uncertain.","['energy drink additive', 'energy drink ingredient']"
emulsifying-salt,Emulsifying Salt,Salts used to stabilize cheese products and prevent separation of fats and proteins.,uncertain,"The halal status depends on the ingredients and processing aids used in the production of emulsifying salts. If they are free from haram substances, they are halal; otherwise, the ruling is uncertain.","['emulsifying salt', 'cheese emulsifier']"
emmer-flour,Emmer Flour,"Flour made from emmer wheat, an ancient grain.",halal,Emmer flour is derived from a plant source and is considered halal.,"['emmer flour', 'farro flour']"
enzyme-treated-flour,Enzyme Treated Flour,Flour that has been treated with enzymes to improve its baking qualities.,uncertain,"The halal status depends on the source and type of enzymes used. Enzymes from halal sources are permissible, while those from non-halal animal sources (e.g., porcine) are not. Without specific information on the enzyme source, the ruling is uncertain.",['enzyme treated flour']
enriched-flour,Enriched Flour,Flour that has had certain nutrients added back after processing.,halal,"Enriched flour is typically halal as the enrichment process involves adding vitamins and minerals that are generally considered halal. However, the source of these additives should be verified to ensure they are not derived from haram sources.","['enriched flour', 'fortified flour']"
enzymes,Enzymes,"Biological catalysts that speed up chemical reactions. Used in food production for various purposes, such as improving texture or flavor.",uncertain,"The halal status depends on the source of the enzymes. Enzymes derived from halal-slaughtered animals or plant/microbial sources are halal. Enzymes from non-halal animal sources (e.g., porcine) are haram. Without knowing the specific source, the ruling is uncertain.",['enzymes']
ergocalciferol,Ergocalciferol,A form of vitamin D2.,halal,"Ergocalciferol (Vitamin D2) is typically derived from plant or fungal sources, making it halal. It does not usually involve any haram substances in its production.","['ergocalciferol', 'vitamin d2']"
ethanol,Ethanol,"A type of alcohol, also known as ethyl alcohol, commonly used as a solvent, preservative, or disinfectant.",uncertain,"While ethanol itself is intoxicating and generally considered impermissible to consume, its use in small quantities as a solvent or preservative may be permissible depending on the concentration and whether the final product is intoxicating. Scholars have differing opinions on this matter.","['ethanol', 'ethyl alcohol', 'alcohol', 'c2h5oh']"
essential-oils,Essential Oils,Concentrated hydrophobic liquid containing volatile aroma compounds from plants.,halal,"Essential oils are extracted from plants and do not contain any haram ingredients. They are considered halal for use in food, cosmetics, and aromatherapy.","['essential oils', 'volatile oils', 'ethereal oils', 'plant extracts']"
fermented-soy-extract,Fermented Soy Extract,"Extract derived from fermented soybeans, used as a food ingredient.",halal,Fermented soy extract is halal as long as the fermentation process does not involve any haram substances. Soybeans are plant-based and halal in their origin.,"['fermented soy extract', 'fermented soya extract']"
ferric-pyrophosphate,Ferric Pyrophosphate,A form of iron used as a food additive for iron enrichment.,halal,Ferric pyrophosphate is a mineral and is considered halal unless it is processed with haram substances.,"['ferric pyrophosphate', 'iron pyrophosphate', 'iron(III) pyrophosphate']"
evaporated-milk,Evaporated Milk,"Milk that has had about 60% of the water removed, resulting in a concentrated milk product.",halal,Evaporated milk is halal as long as it is derived from halal animals and does not contain any haram additives.,"['evaporated milk', 'unsweetened condensed milk']"
fenugreek-gum,Fenugreek Gum,"A natural gum extracted from fenugreek seeds, used as a thickening and stabilizing agent in food products.",halal,Fenugreek gum is plant-based and considered halal.,"['fenugreek gum', 'fenugreek seed gum']"
extra-virgin-olive-oil,Extra Virgin Olive Oil,"The highest grade of olive oil, made by cold pressing olives.",halal,Extra virgin olive oil is plant-based and considered halal.,"['extra virgin olive oil', 'olive oil']"
fish-extract,Fish Extract,"Concentrated substance derived from fish, used to impart fish flavor or nutritional benefits to food products.",halal,Fish and its derivatives are considered halal according to Islamic dietary laws.,"['fish extract', 'fish essence']"
fish-powder,Fish Powder,"Dried and ground fish, used as a flavoring agent or nutritional supplement.",halal,Fish and its derivatives are considered halal according to Islamic dietary laws.,"['fish powder', 'dried fish powder']"
ferrous-fumarate,Ferrous Fumarate,An iron salt used as a source of iron in dietary supplements and food fortification.,halal,"Ferrous fumarate is a synthetic compound and does not contain any animal-derived ingredients or alcohol, so it is considered halal.","['ferrous fumarate', 'iron(II) fumarate', 'iron fumarate']"
ficin,Ficin,"A proteolytic enzyme derived from fig latex, used in food processing to tenderize meat and in cheese making.",halal,"Ficin is derived from figs, which are plant-based and considered halal. The enzyme itself does not contain any haram substances.","['ficin', 'fig enzyme']"
flavoring,Flavoring,Substances used to give a distinct flavor to food or other products.,uncertain,"The halal status depends on the source and composition of the flavoring. If derived from halal sources (e.g., certain fruits, spices) and does not contain haram substances (e.g., alcohol, non-halal animal products), it is halal. Otherwise, it is uncertain.","['flavoring', 'flavouring', 'natural flavoring', 'artificial flavoring']"
flaxseed-meal,Flaxseed Meal,"Ground flaxseeds, used as a source of fiber and omega-3 fatty acids.",halal,"Flaxseed meal is derived from flaxseeds, which are plant-based and considered halal.","['flaxseed meal', 'ground flaxseed', 'linseed meal']"
flaxseed-oil,Flaxseed Oil,"Oil extracted from flaxseeds, rich in omega-3 fatty acids.",halal,"Flaxseed oil is derived from flaxseeds, which are plant-based and considered halal.","['flaxseed oil', 'linseed oil']"
flour-treatment-agent,Flour Treatment Agent,"Substances added to flour to improve its baking quality, texture, or appearance.",uncertain,"The halal status depends on the specific agent used. Some agents are halal (e.g., ascorbic acid), while others may be of animal origin or contain haram substances, making them uncertain.","['flour treatment agent', 'dough conditioner', 'bread improver']"
flour-whitener,Flour Whitener,A chemical added to flour to make it appear whiter.,uncertain,"The halal status depends on the specific substance used as a flour whitener. Some may be halal, while others may contain haram ingredients or be questionable.","['flour whitener', 'bleached flour']"
folate,Folate,"A form of water-soluble vitamin B9, essential for cell growth and metabolism.",halal,Folate is a vitamin and is considered halal unless it is processed using haram substances.,"['folate', 'vitamin B9', 'folic acid']"
fos,Fructooligosaccharides,A type of prebiotic fiber that promotes the growth of beneficial bacteria in the gut.,halal,FOS is a type of sugar derived from plant sources. It is considered halal as long as it is not processed with haram substances.,"['fos', 'fructooligosaccharides', 'fructo-oligosaccharides', 'oligofructose', 'short-chain fructooligosaccharides']"
fortified-mineral,Fortified Mineral,Minerals added to food products to increase their nutritional value.,halal,Minerals are generally considered halal unless they are processed with or derived from haram substances.,"['fortified mineral', 'added minerals', 'mineral blend', 'mineral premix']"
fonio-flour,Fonio Flour,"Flour made from fonio, an ancient grain from West Africa.",halal,Fonio is a grain and all grains are considered halal unless contaminated with haram substances.,"['fonio flour', 'fonio', 'acha flour', 'hungry rice flour']"
fractionated-palm-oil,Fractionated Palm Oil,Palm oil that has been separated into different components through a process called fractionation.,halal,Palm oil is considered halal. Fractionation is a physical process and does not change the halal status of the oil unless it is contaminated with haram substances during processing.,"['fractionated palm oil', 'palm oil fractions', 'olein', 'stearin']"
hydrogenated-oil,Fully Hydrogenated Oil,"Vegetable or animal oil that has been converted to a solid or semi-solid form through hydrogenation, a process that adds hydrogen atoms to the oil's molecules.",uncertain,"The halal status depends on the source of the oil. If the oil is from a halal source (e.g., soybean, sunflower, or halal-slaughtered animal), it is halal. If it is from a haram source (e.g., pork), it is haram. If the source is not specified, it is uncertain.","['fully hydrogenated oil', 'hydrogenated oil', 'partially hydrogenated oil', 'hydrogenated vegetable oil']"
fruit-sugar,Fruit Sugar,A type of sugar naturally found in fruits.,halal,Fruit sugar is derived from fruits and does not contain any haram ingredients.,['fruit sugar']
soy-flour,Full Fat Soy Flour,Flour made from ground soybeans that have not had the oil extracted.,halal,"Soy flour is derived from soybeans, which are considered halal.","['full fat soy flour', 'soy flour', 'soya flour']"
fructose-syrup,Fructose Syrup,"A sweetener made from fructose, a type of sugar found in fruits and honey.",halal,Fructose syrup is typically derived from fruits or corn and is considered halal unless produced using haram ingredients or processes.,"['fructose syrup', 'high fructose corn syrup', 'fructose corn syrup']"
fructose,Fructose,"A monosaccharide (simple sugar) found in many plants, and is one of the three most important blood sugars along with glucose and galactose.",halal,Fructose is a naturally occurring sugar found in fruits and honey and is considered halal.,"['fructose', 'fruit sugar']"
fruit-juice-concentrate,Fruit Juice Concentrate,Fruit juice that has had most of its water extracted.,halal,Fruit juice concentrate is derived from fruits and is halal unless alcohol or other haram substances are added during processing.,"['fruit juice concentrate', 'concentrated fruit juice']"
ghee,Ghee,A class of clarified butter that originated in ancient India. It is commonly used in cooking and as a spread.,halal,"Ghee is made from butter, which is permissible if it's derived from halal animals and does not contain any haram additives.","['ghee', 'clarified butter']"
gallates,Gallates,"A group of antioxidant food additives used to prevent fats and oils from spoiling. Common examples include propyl gallate, octyl gallate, and dodecyl gallate.",halal,Gallates are synthetic compounds and are considered halal unless they contain or are produced with haram substances.,"['gallates', 'propyl gallate', 'octyl gallate', 'dodecyl gallate', 'E310', 'E311', 'E312']"
galactose,Galactose,"A monosaccharide sugar that is less sweet than glucose and fructose. It is found in dairy products, sugar beets, and gums.",halal,Galactose is a naturally occurring sugar and is considered halal.,"['galactose', 'milk sugar', 'brain sugar']"
garlic-powder,Garlic Powder,"Dehydrated, ground garlic used as a seasoning.",halal,Garlic powder is simply ground garlic and is considered halal.,"['garlic powder', 'dehydrated garlic']"
ginseng-extract,Ginseng Extract,"Concentrated form of ginseng, a root known for its potential health benefits and used in various food and beverage products.",halal,Ginseng extract is derived from the ginseng plant and does not contain any haram substances. It is considered halal unless alcohol is used in the extraction process.,"['ginseng extract', 'panax ginseng extract', 'ginseng root extract']"
glucomannan,Glucomannan,"A water-soluble dietary fiber derived from the root of the konjac plant, often used as a food additive and dietary supplement.",halal,Glucomannan is a polysaccharide derived from a plant source and does not contain any haram substances. It is considered halal.,"['glucomannan', 'konjac flour', 'konjac mannan', 'e425']"
glutinous-rice-flour,Glutinous Rice Flour,A type of flour made from glutinous rice (also known as sticky rice or sweet rice). It is used in various Asian desserts and dishes to provide a chewy and sticky texture.,halal,"Glutinous rice flour is derived from glutinous rice, which is a plant-based source. As long as it is not contaminated with any haram substances during processing, it is considered halal.","['glutinous rice flour', 'sweet rice flour', 'sticky rice flour', 'glutinous flour']"
gos,Galacto-oligosaccharides,A type of prebiotic carbohydrate composed of galactose molecules. It is used as a food ingredient to promote the growth of beneficial bacteria in the gut.,halal,"GOS is generally considered halal as it is derived from lactose, a sugar found in milk, and the production process typically does not involve any haram substances.","['gos', 'galacto-oligosaccharides', 'galactooligosaccharides']"
golden-syrup,Golden Syrup,"A thick, amber-colored invert sugar syrup made during the refining of sugar cane or sugar beet juice.",halal,"Golden syrup is considered halal as it is made from sugar and does not contain any haram ingredients. However, it is important to ensure that no non-halal ingredients are used in its processing or packaging.",['golden syrup']
gmp,Good Manufacturing Practice,A system for ensuring that products are consistently produced and controlled according to quality standards. It is designed to minimize the risks involved in any pharmaceutical production that cannot be eliminated through testing the final product.,halal,"GMP itself is a set of guidelines and standards for manufacturing processes. It doesn't inherently make a product halal or haram, but adherence to GMP can help ensure that halal products are produced in a clean and safe environment, free from contamination with haram substances.","['gmp', 'good manufacturing practice']"
gms,Glycerol Monostearate,An emulsifier used in food and cosmetic products.,uncertain,"Glycerol monostearate can be derived from both plant and animal sources. If it is derived from animal sources, it is only halal if the animal is halal and slaughtered according to Islamic guidelines.","['gms', 'glycerol monostearate', 'glyceryl monostearate', 'E471']"
grape-seed-extract,Grape Seed Extract,"A dietary supplement made by removing, drying, and pulverizing the bitter-tasting seeds of grapes. It is used for its antioxidant properties.",halal,"Grape seed extract is considered halal as it is derived from grapes and does not contain any haram ingredients. However, it is important to ensure that no non-halal ingredients are used in its processing or packaging.",['grape seed extract']
grits,Grits,"Coarsely ground corn, typically made from dent corn. It is a common food in the Southern United States, usually served as a breakfast dish.",halal,Grits are made from corn and do not contain any haram ingredients.,"['grits', 'hominy grits', 'corn grits']"
ground-oats,Ground Oats,Oats that have been milled into a fine powder or flour. Used in baking and as a thickening agent.,halal,Oats are a naturally halal grain. The grinding process does not introduce any haram substances.,"['ground oats', 'oat flour', 'milled oats']"
groundnut-oil,Groundnut Oil,"Oil extracted from peanuts, used for cooking and frying.",halal,"Groundnut oil is derived from peanuts, which are halal. The extraction process itself does not render it haram unless contaminated with haram substances.","['groundnut oil', 'peanut oil', 'arachis oil']"
ground-rice,Ground Rice,Rice that has been milled into a fine powder or flour. Used in baking and as a thickening agent.,halal,Rice is a naturally halal grain. The grinding process does not introduce any haram substances.,"['ground rice', 'rice flour', 'rice powder']"
hemp-protein-powder,Hemp Protein Powder,A protein supplement made from hemp seeds.,halal,"Hemp protein powder is derived from hemp seeds, which are considered halal. The production process typically involves grinding the seeds, which does not introduce any haram substances.","['hemp protein powder', 'hemp protein']"
herbal-extract,Herbal Extract,A concentrated preparation of herbs.,uncertain,"The ruling depends on the specific herbs used and the extraction process. Some herbs may have intoxicating properties, and the extraction process might involve non-halal solvents like alcohol.","['herbal extract', 'herb extract', 'extract of herbs']"
hazelnut-flour,Hazelnut Flour,Flour made from ground hazelnuts.,halal,"Hazelnut flour is made from ground hazelnuts, which are considered halal. The production process typically involves grinding the nuts, which does not introduce any haram substances.","['hazelnut flour', 'ground hazelnuts']"
gum-glaze,Gum Glaze,A shiny coating applied to confectionery and other food products.,uncertain,"The ruling depends on the ingredients used in the glaze. If the glaze contains gelatin or alcohol, it would be considered haram. Otherwise, it is halal.","['gum glaze', ""confectioner's glaze"", 'shellac']"
guarana-extract,Guarana Extract,"An extract from guarana seeds, often used as a stimulant.",halal,"Guarana extract is derived from guarana seeds, which are considered halal. The extraction process itself does not typically involve any haram substances.","['guarana extract', 'guarana seed extract']"
himalayan-pink-salt,Himalayan Pink Salt,"A type of rock salt mined from the Punjab region of Pakistan, known for its pink color due to trace minerals.",halal,Salt in its natural form is considered halal as it is a mineral and does not contain any haram substances.,['himalayan pink salt']
hfcs,High-Fructose Corn Syrup,A sweetener made from corn starch that has been processed to convert some of its glucose into fructose.,halal,"HFCS is typically halal as it is derived from corn, which is a permissible source. However, the processing should not involve any haram substances.","['hfcs', 'high-fructose corn syrup']"
hickory-smoke-flavor,Hickory Smoke Flavor,A flavoring that imparts the taste and aroma of hickory smoke to food products.,uncertain,"The halal status depends on the ingredients and processing aids used in the production of the flavor. If the flavor is natural it is halal, but if it contains alcohol or animal-derived ingredients, it would be haram. Without specific information on the source and processing, it is uncertain.","['hickory smoke flavor', 'hickory smoke']"
hfcs-55,High-Fructose Corn Syrup 55,A specific type of high-fructose corn syrup containing 55% fructose.,halal,"HFCS 55 is typically halal as it is derived from corn, which is a permissible source. However, the processing should not involve any haram substances.","['hfcs 55', 'high-fructose corn syrup 55']"
hfcs-42,High-Fructose Corn Syrup 42,A specific type of high-fructose corn syrup containing 42% fructose.,halal,"HFCS 42 is typically halal as it is derived from corn, which is a permissible source. However, the processing should not involve any haram substances.","['hfcs 42', 'high-fructose corn syrup 42']"
hfcs-90,High-Fructose Corn Syrup 90,A specific type of high-fructose corn syrup containing 90% fructose.,halal,"HFCS 90 is typically halal as it is derived from corn, which is a permissible source. However, the processing should not involve any haram substances.","['hfcs 90', 'high-fructose corn syrup 90']"
humectant,Humectant,A substance used to keep things moist.,uncertain,"The halal status depends on the source and composition of the humectant. Some humectants are plant-based and halal, while others may be derived from animal sources or contain haram ingredients.",['humectant']
honey,Honey,"A sweet, viscous fluid produced by bees from the nectar of flowers.",halal,"Honey is considered halal as it is a natural product derived from bees and flowers, and its consumption is permissible in Islam.",['honey']
hvp,Hydrolyzed Vegetable Protein,A flavor enhancer made by breaking down vegetable proteins into amino acids.,uncertain,"The halal status of Hydrolyzed Vegetable Protein (HVP) depends on the source of the vegetable protein and the enzymes used in the hydrolysis process. If the vegetable protein is from a halal source and the enzymes used are also halal, then HVP is considered halal. Otherwise, it is uncertain.","['hydrolyzed vegetable protein', 'hvp', 'hydrolysed vegetable protein']"
hominy-flour,Hominy Flour,Flour made from ground hominy (dried maize kernels treated with an alkali).,halal,"Hominy flour is generally considered halal as it is derived from maize, which is a plant-based source. The alkali treatment used in making hominy typically does not introduce any haram substances.",['hominy flour']
i-g,I G,"It could be a typo, and without further context, it's hard to determine the exact ingredient.",uncertain,The information is not sufficient to determine its halal status.,['i g']
ice-cream-stabilizer,Ice Cream Stabilizer,"A substance added to ice cream to improve its texture, prevent ice crystal formation, and extend its shelf life.",uncertain,"The halal status depends on the ingredients used in the stabilizer mix. Common stabilizers include gelatin, vegetable gums, and emulsifiers, some of which may be haram if derived from non-halal sources.","['ice cream stabilizer', 'ice-cream-stabilizer']"
inositol,Inositol,A vitamin-like substance found in many plants and animals. It is used in some food products and supplements.,halal,Inositol is generally considered halal as it is a naturally occurring substance found in plants and animals and does not contain any haram ingredients.,"['inositol', 'myo-inositol', 'vitamin b8']"
instant-ramen-stabilizer,Instant Ramen Stabilizer,An ingredient added to instant ramen to maintain its texture and prevent degradation during storage.,uncertain,"The ruling depends on the ingredients used in the stabilizer. If the stabilizer contains halal ingredients, it is halal. If it contains haram ingredients such as pork-derived gelatin or non-halal animal fats, it is haram. If the ingredients are unknown, the ruling is uncertain.","['instant ramen stabilizer', 'ramen stabilizer']"
injera-flour,Injera Flour,"Flour used to make injera, a sourdough flatbread commonly eaten in Ethiopia and Eritrea. Typically made from teff, but can include other grains.",halal,"Injera flour is typically made from teff or other grains, which are considered halal. The fermentation process also does not introduce any haram substances.","['injera flour', 'teff flour']"
imitation-vanilla,Imitation Vanilla,A synthetic flavoring that mimics the taste of natural vanilla extract.,uncertain,"The ruling depends on the ingredients used. If the imitation vanilla is alcohol-free and does not contain any haram ingredients, it is halal. However, some imitation vanilla flavorings may contain alcohol as a solvent, which would make them haram.","['imitation vanilla', 'artificial vanilla extract', 'vanilla flavoring']"
instant-soup-additive,Instant Soup Additive,"An ingredient added to instant soup to enhance flavor, texture, or nutritional value.",uncertain,"The ruling depends on the ingredients used in the additive. If the additive contains halal ingredients, it is halal. If it contains haram ingredients such as pork-derived ingredients or non-halal animal fats, it is haram. If the ingredients are unknown, the ruling is uncertain.","['instant soup additive', 'soup additive']"
imo,Isomalto-oligosaccharide,A mixture of short-chain carbohydrates with a digestion-resistant property. Used as a sweetener and dietary fiber.,halal,"IMO is typically produced from starch through enzymatic conversion, a process that does not involve any haram substances.","['imo', 'isomalto-oligosaccharide']"
invert-sugar,Invert Sugar,"A syrup mixture of glucose and fructose, resulting from the hydrolysis of sucrose.",halal,"Invert sugar is produced by hydrolyzing sucrose, a process that does not involve any haram substances.","['invert sugar', 'inverted sugar', 'invert sugar curing', 'invert sugar syrup']"
iodized-salt,Iodized Salt,Table salt with a small amount of iodine added.,halal,Iodized salt is considered halal as the added iodine does not render it haram.,"['iodized salt', 'iodised salt', 'salt with iodine']"
irish-moss-extract,Irish Moss Extract,"Extract derived from red algae (Chondrus crispus), used as a thickening or gelling agent.",halal,Irish moss extract is derived from a type of seaweed and is considered halal.,"['irish moss extract', 'carrageenan', 'chondrus crispus extract', 'E407']"
invert-syrup,Invert Syrup,"A syrup mixture of glucose and fructose, resulting from the hydrolysis of sucrose.",halal,"Invert syrup is produced by hydrolyzing sucrose, a process that does not involve any haram substances.","['invert syrup', 'inverted sugar syrup']"
iron-lactate,Iron Lactate,"An iron salt of lactic acid, used as a food additive.",uncertain,"Lactic acid, used to produce iron lactate, can be derived from both animal and non-animal sources. If the lactic acid is from an animal source that is not halal, then the iron lactate would be haram. Therefore, without knowing the source, it is uncertain.","['iron lactate', 'ferrous lactate']"
isinglass,Isinglass,"A type of gelatin obtained from the dried swim bladders of fish, used for clarifying beverages.",halal,"Isinglass is derived from fish, which are considered halal. As long as the production process does not involve any haram substances, it is permissible.",['isinglass']
